iter	Passed	Remaining
947	2908	159
948	2910	156
949	2912	153
950	2914	150
951	2915	147
952	2918	143
953	2921	140
954	2924	137
955	2926	134
956	2927	131
957	2929	128
958	2931	125
959	2935	122
960	2936	119
961	2938	116
962	2939	112
963	2944	109
964	2946	106
965	2952	103
966	2955	100
967	2957	97
968	2958	94
969	2960	91
970	2962	88
971	2966	85
972	2968	82
973	2974	79
974	2975	76
975	2977	73
976	2981	70
977	2983	67
978	2986	64
979	2989	61
980	2990	57
981	2992	54
982	2997	51
983	2998	48
984	3002	45
985	3004	42
986	3005	39
987	3007	36
988	3013	33
989	3018	30
990	3020	27
991	3022	24
992	3024	21
993	3031	18
994	3038	15
995	3045	12
996	3047	9
997	3050	6
998	3052	3
999	3054	0
